Durumu;Stok Kodu;Stok Adı;Üretim Kodu;Üretim Adı;Planlama Miktarı;Şube Kodu;Kaydeden;Kayıt Tarihi;Değiştiren;Değiştirme Tarihi;Ticari Ünvanı;Teslim Tarihi;Adı Soyadı
Reçete;ST00036;PATAT;BUR00024;PATAT;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;st0000038;KARTON KÜLAH;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000152;PINAR KETÇAP SERVİS 800 GR;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;st0000111;PINAR MAYONEZ SERVİS 700 GR;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00037;ÇITIR TAVUKLU PATAT;BUR00025;ÇITIR TAVUKLU PATAT;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,035;0;LİTRE;0,035;LİTRE;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000038;KARTON KÜLAH;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00166;ÇITIR TAVUK BONFİLE PARÇALARI;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000111;PINAR MAYONEZ SERVİS 700 GR;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;st0000152;PINAR KETÇAP SERVİS 800 GR;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,13;0;KİLOGRAM;0,13;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00015;KALBURABASTI;BUR00026;KALBURABASTI;50;MERKEZ;MERKEZ;22.08.2025;MERKEZ;9.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;2,3;0;LİTRE;2,3;LİTRE;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;st0000062;PUDRA ŞEKERİ DÖKME;0,14;0;KİLOGRAM;0,14;KİLOGRAM;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;1,5;0;KİLOGRAM;1,5;KİLOGRAM;MERKEZ;;;;;
;st0000061;CEVİZ İÇİ;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;4;0;KİLOGRAM;4;KİLOGRAM;MERKEZ;;;;;
;ST00198;DAMACANA SU 1 LT;5;0;LİTRE;5;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00035;HOTDOG;BUR00027;HOTDOG;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000431;SANDVİÇ EKMEĞİ BÜFE TİP 6*65 GR;1;0;ADET;0,167;PAKET;MERKEZ;;;;;
;st0000013;SALÇA;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;0,005;0;LİTRE;0,005;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,08;0;KİLOGRAM;0,08;KİLOGRAM;MERKEZ;;;;;
;st0000039;SANDIVIÇ KAĞIT HAMUR;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000050;KARTON KUMPİR 100'LÜ PAKET;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00206;PINAR SOSİS SERVİS 460 GR.;0,084;0;KİLOGRAM;0,084;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00012;FRAMBUAZLI PUDİNG;BUR00028;FRAMBUAZLI PUDİNG;1;MERKEZ;MERKEZ;27.08.2025;MERKEZ;27.08.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;0,133;0;LİTRE;0,133;LİTRE;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,024;0;KİLOGRAM;0,024;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,009;0;KİLOGRAM;0,009;KİLOGRAM;MERKEZ;;;;;
;st0000130;ALBA SADE 10KG;0,001;0;KİLOGRAM;0,001;KİLOGRAM;MERKEZ;;;;;
;st0000215;FO TOPING FRAMBUAZ;0,019;0;KİLOGRAM;0,019;KİLOGRAM;MERKEZ;;;;;
;ST00197;FO ŞURUP NARLI 700 ML;0,004;0;ADET;0,004;ADET;MERKEZ;;;;;
;st0000089;FINDIK KIRIK 1 KG;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000164;SUB KASE;1;0;ADET;1;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00224;ETLİ TÜRLÜ;BUR00029;ETLİ TÜRLÜ;120;MERKEZ;MERKEZ;15.09.2025;MERKEZ;26.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000327;PATATES;15;0;KİLOGRAM;15;KİLOGRAM;MERKEZ;;;;;
;st0000329;KABAK;10;0;KİLOGRAM;10;KİLOGRAM;MERKEZ;;;;;
;st0000312;PATLICAN;15;0;KİLOGRAM;15;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;3;0;KİLOGRAM;3;KİLOGRAM;MERKEZ;;;;;
;st0000308;YEŞİL BİBER;3;0;KİLOGRAM;3;KİLOGRAM;MERKEZ;;;;;
;st0000102;KUŞBAŞI;5;0;KİLOGRAM;5;KİLOGRAM;MERKEZ;;;;;
;st0000303;HAVUÇ;3;0;KİLOGRAM;3;KİLOGRAM;MERKEZ;;;;;
;st0000321;SOĞAN;2,5;0;KİLOGRAM;2,5;KİLOGRAM;MERKEZ;;;;;
;st0000013;SALÇA;1,5;0;KİLOGRAM;1,5;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;1,5;0;LİTRE;1,5;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00225;ARPA ŞEHRİYE PİLAVI;BUR00030;ARPA ŞEHRİYE PİLAVI;120;MERKEZ;MERKEZ;15.09.2025;MERKEZ;24.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000158;ARPA ŞEHRİYE DÖKME KG;10;0;KİLOGRAM;10;KİLOGRAM;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,4;0;KİLOGRAM;0,4;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;2;0;LİTRE;2;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000110;TOZ BİBER;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
