Stok Kodu;Stok Adı;Grubu;Birimi;MUTLULUK KAHVELERİ;ÇINARLI;AYAKÜSTÜ
ST00227;KURU NANE;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00228;HAZIR DOMATES SOS;Hammadde;LİTRE;0,00;0,00;0,00
ST00211;MAGİC SEASONİNG CAJUN BAHARATI 567 GR;Hammadde;ADET;0,00;0,00;0,00
ST00212;KÖRİ TOZU;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00206;PINAR SOSİS SERVİS 460 GR.;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00207;TAVUK JÜLYEN;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00208;FEAST TORPAT PATATES10*10 2,5 KG*6;Hammadde;KOLİ;0,00;0,00;0,00
ST00209;BARDACIK;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00202;SUPERFRESH 9*9 PATATES (KLASİK);Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00166;ÇITIR TAVUK BONFİLE PARÇALARI;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00197;FO ŞURUP NARLI 700 ML;Hammadde;ADET;0,00;0,00;0,00
ST00198;DAMACANA SU 1 LT;Hammadde;LİTRE;0,00;0,00;0,00
st0000468;DONUK TAZE FASÜLYE;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000473;İNCE BULGUR;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00157;TEST;Hammadde;ADET;0,00;0,00;0,00
ST00182;KÜP KESİM SALATALIK TURŞUSU;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00183;SANDWİÇ SOSU;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00184;LOR PEYNİRİ;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00185;SALATA SOSU;Hammadde;KİLOGRAM;0,00;0,00;0,00
ST00186; DANA SOSİS;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000380;TAVUK PİRZOLA;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000381;TAVUK BONFİLE;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000382;YUMURTA 30 LU;Hammadde;ADET;0,00;0,00;0,00
st0000383;TAVUK BAGET;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000384;BÜTÜN PİLİÇ;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000385;TAVUK BUT;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000429;ROLL EKMEĞİ SADE 40 GR;Hammadde;ADET;0,00;0,00;0,00
st0000430;ROLL EKMEĞİ KEPEKLİ 40 GR;Hammadde;ADET;0,00;0,00;0,00
