Stok Kodu;Stok Adı;Grubu;Birimi
st0000417;MAX GOKKUSAGI PROMO;Yiyecek;ADET
st0000418;MAX TWISTER COOL PROMO;Yiyecek;ADET
st0000419;MAX TWISTER FOREST;Yiyecek;ADET
st0000420;MAX TWISTER OCEAN;Yiyecek;ADET
st0000421;CORNETTO DISC ANTEP FISTIK-ÇİKOLATA;Yiyecek;ADET
st0000422;CORNETTO DISC MILKA;Yiyecek;ADET
st0000423;ALGIDA MARAS CUP;Yiyecek;ADET
st0000424;MAGNUM DBL CHILL;Yiyecek;ADET
st0000425;MAGNUM EUPHORIA;Yiyecek;ADET
st0000426;CDO PANTHEON KAYMAK 5.5LT;Yiyecek;ADET
st0000427;CDO PANTHEON CIKOLATA 5.5LT;Yiyecek;ADET
st0000428;CDO PANTHEON CILEK 5.5 LT;Yiyecek;ADET
st0000299;BURÇAK;Yiyecek;ADET
st0000232;FİNEFOOD 9*18 PATATES 15 KG;Yiyecek;KİLOGRAM
st0000220;KROKET PATATES;Yiyecek;KİLOGRAM
st0000221;TANE MISIR KONS 340 GR;Yiyecek;KİLOGRAM
st0000212;TUKAŞ KETÇAP BÜFE 650 GR;Yiyecek;ADET
st0000213;TUKAŞ MAYONEZ BÜFE 650 GR;Yiyecek;ADET
st0000361;KARAM GURME 50GX18 KL;Yiyecek;ADET
st0000362;ETİ ÇİKOLATALI GOFRET 34GX42;Yiyecek;ADET
st0000363;SUSAMLI ÇUBUK 56GX17;Yiyecek;ADET
st0000364;TOPKEK MEY. BSZ 40GX24 TV;Yiyecek;ADET
st0000365;ETI CIK. STICK KARAMELLİ;Yiyecek;ADET
st0000366;BROWNİ INTENSE KAKAOLU;Yiyecek;ADET
st0000367;TOPKEK KAK. BSZ 35GX24 TV;Yiyecek;ADET
st0000368;ETİ STİCK SÜTLÜ ÇİKOLATA;Yiyecek;ADET
st0000369;POPKEK MUZ 60GX24 KL;Yiyecek;ADET
st0000370;POPKEK KAK. 60GX24 KL;Yiyecek;ADET
st0000371;KREMALI SADE 61GX24 KL;Yiyecek;ADET
st0000372;TOPKEK CIL. BSZ 40GX24 TV;Yiyecek;ADET
st0000373;CANGA;Yiyecek;ADET
st0000374;KARAM STICK %54 210GX10KL;Yiyecek;ADET
st0000375;BENİMO ÇİKOLATALI;Yiyecek;ADET
st0000376;CRAX PEYNİRLİ;Yiyecek;ADET
st0000377;BROWNI ÇİKOLATA FINDIK KEK 40 GR;Yiyecek;ADET
st0000378;GEVREK;Yiyecek;ADET
st0000379;BOYOZ;Yiyecek;ADET
st0000340;SF PATATES KLASİK 9X9 2,5 KG X 5 EDT;Yiyecek;KOLİ
st0000341;SF PATATES KLASİK 9X18 2,5 KG X 5 EDT;Yiyecek;KİLOGRAM
st0000087;TON BALIK 160 GR;Yiyecek;ADET
st0000006;HEINZ KETÇAP P.P SACHET;Yiyecek;ADET
st0000007;HEINZ MAYONEZ P.P SACHET;Yiyecek;ADET
st0000019;TEKLİ SARMA ŞEKER;Yiyecek;KOLİ
st0000129;TÜRLÜ TURŞU;Yiyecek;KİLOGRAM
st0000133;REÇEL PİKNİK 20 GR;Yiyecek;ADET
st0000134;KOSKA BAL 20 GR;Yiyecek;ADET
st0000135;TEREYAĞ 10GR PİKNİK;Yiyecek;ADET
st0000136;ZEYTİN 30 GR  MİNİ 27 Lİ;Yiyecek;ADET
st0000137;ÜÇGEN PEYNİR 80 ADET KUTU;Yiyecek;ADET
st0000150;KETÇAP POŞET 10 GR;Yiyecek;ADET
st0000151;MAYONEZ POŞET 10 GR;Yiyecek;ADET
st0000175;HELLMAN'S PP KETÇAP 616*9 GR;Yiyecek;ADET
st0000052;TEK KULLANIMLIK KETÇAP;Yiyecek;ADET
st0000053;TEK KULLANIMLIK MAYONEZ;Yiyecek;ADET
