Stok Kodu;Stok Adı;Grubu;Birimi
ST00102;MAGNUM DBL CHOCOLATE;ÇINARLI MENÜ;ADET
ST00103;MAGNUM COOCKİE;ÇINARLI MENÜ;ADET
ST00104;MAX TWİSTER FOREST;ÇINARLI MENÜ;ADET
ST00105;MAX TWİSTER OCEAN;ÇINARLI MENÜ;ADET
ST00015;KALBURABASTI;ÇINARLI MENÜ;PORSİYON
ST00001;TOP DONDURMA;DONDURMA;ADET
ST00222;CARTE DOR PANTHEON OREO 5.5 LT;DONDURMA;ADET
ST00227;KURU NANE;Hammadde;KİLOGRAM
ST00228;HAZIR DOMATES SOS;Hammadde;LİTRE
ST00211;MAGİC SEASONİNG CAJUN BAHARATI 567 GR;Hammadde;ADET
ST00212;KÖRİ TOZU;Hammadde;KİLOGRAM
ST00206;PINAR SOSİS SERVİS 460 GR.;Hammadde;KİLOGRAM
ST00207;TAVUK JÜLYEN;Hammadde;KİLOGRAM
ST00208;FEAST TORPAT PATATES10*10 2,5 KG*6;Hammadde;KOLİ
ST00209;BARDACIK;Hammadde;KİLOGRAM
ST00202;SUPERFRESH 9*9 PATATES (KLASİK);Hammadde;KİLOGRAM
ST00166;ÇITIR TAVUK BONFİLE PARÇALARI;Hammadde;KİLOGRAM
ST00197;FO ŞURUP NARLI 700 ML;Hammadde;ADET
ST00198;DAMACANA SU 1 LT;Hammadde;LİTRE
st0000468;DONUK TAZE FASÜLYE;Hammadde;KİLOGRAM
