Stok Kodu,Stok Adı,Grubu,Birimi,MUTLULUK KAHVELERİ,ÇINARLI,AYAKÜSTÜ,MatchedIngredientName,MatchedPrice,SimScore,NeedsReview
ST00016,KAKOULU CUPCAKE,MUTLULUK KAHVESİ MENÜ,Adet,"45,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,40,1
ST00017,HAVUÇLU CUPCAKE,MUTLULUK KAHVESİ MENÜ,Adet,"45,00","0,00","0,00",HAVUÇ,50.0,50,1
ST00018,KURU PASTA PORSİYON,MUTLULUK KAHVESİ MENÜ,Adet,"60,00","0,00","0,00",HARUN DILIM KAŞAR  PEYNİRİ,329.0,45,1
ST00019,KURU PASTA ADET,MUTLULUK KAHVESİ MENÜ,Adet,"15,00","0,00","0,00",ARBELLA BURGU MAKARNA 5 KG,37.8,43,1
ST00002,KAŞARLI TOST,MUTLULUK KAHVESİ MENÜ,Adet,"60,00","0,00","0,00",KARIŞTIRICI,56.0,52,1
ST00003,KARIŞIK SICAK TABAK,MUTLULUK KAHVESİ MENÜ,ADET,"120,00","0,00","0,00",KARIŞTIRICI,56.0,53,1
ST00004,PATATES KIZARTMASI,MUTLULUK KAHVESİ MENÜ,Adet,"60,00","0,00","0,00",PATATES,35.0,100,0
ST00005,FIRIN MAKARNA,MUTLULUK KAHVESİ MENÜ,Adet,"120,00","0,00","0,00",FILIZ FIYONK 5 KG MAKARNA,48.0,70,1
ST00006,PATSO,MUTLULUK KAHVESİ MENÜ,Adet,"90,00","0,00","0,00",PATATES,35.0,66,1
ST00007,MEVSİM SALATA,MUTLULUK KAHVESİ MENÜ,Adet,"97,50","0,00","0,00",MANTAR,170.0,42,1
ST00008,ÇITIR TAVUKLU SALATA,MUTLULUK KAHVESİ MENÜ,Adet,"142,50","0,00","0,00",BİBER TATLI,160.0,45,1
ST00009,KAŞARLI SOĞUK SANDWİÇ,MUTLULUK KAHVESİ MENÜ,Adet,"105,00","0,00","0,00",SIVI SABUN APARATI,139.0,51,1
ST00010,ÇITIR TAVUKLU SANDWİÇ,MUTLULUK KAHVESİ MENÜ,Adet,"135,00","0,00","140,00",SANDVİÇ EKMEĞİ Büfe Tip 6*65 GR,54.46,42,1
ST00013,ÇİKOLATALI PASTA,MUTLULUK KAHVESİ MENÜ,ADET,"90,00","0,00","0,00",ÇERİ DOMATES,100.0,42,1
ST00014,FRAMBUAZLI PASTA,MUTLULUK KAHVESİ MENÜ,Adet,"90,00","0,00","0,00",BERRAK KÖZLENMİŞ PATLICAN  3 KG,309.0,43,1
ST00133,KAHVALTI TABAĞI,MUTLULUK KAHVESİ MENÜ,Adet,"120,00","0,00","0,00",SIVI SABUN APARATI,139.0,48,1
ST00165,İLAVE ÜRÜN KOKTEYL SOSİS,MUTLULUK KAHVESİ MENÜ,ADET,"30,00","0,00","0,00",DAMLA SU OWB 330ML YENI SIS DYS,132.47,43,1
ST00396,MAGNOLİA*,MUTLULUK KAHVESİ MENÜ,ADET,"120,00","0,00","0,00",MANTAR,170.0,53,1
ST00397,PROFİTEROL,MUTLULUK KAHVESİ MENÜ,ADET,"120,00","0,00","0,00",PRİL,213.0,57,1
ST00398,TİRAMİSU,MUTLULUK KAHVESİ MENÜ,ADET,"120,00","0,00","0,00",BİBER TATLI,160.0,42,1
ST00399,TRİLİÇE*,MUTLULUK KAHVESİ MENÜ,ADET,"120,00","0,00","0,00",PATLICAN,100.0,50,1
ST00284,-ELMALI KURABİYE,MUTLULUK KAHVESİ MENÜ,ADET,"30,00","30,00","30,00",MIKROFIBER BEZ,26.0,48,1
ST00415,BARDAK COOKİE,MUTLULUK KAHVESİ MENÜ,ADET,"35,00","0,00","35,00",7 OZ BARDAK,0.55,70,1
ST00412,KÜLTABLASI,Sarf Malzeme,ADET,"0,00","0,00","0,00",SIVI SABUN 5 LT,189.8,48,1
ST00409,ŞANTİ TORBASI,Sarf Malzeme,ADET,"0,00","0,00","0,00",ÇÖP TORBASI JUMBO 80*110 SİYAH,617.0,70,1
ST00276,LAVABO FIRÇASI,Sarf Malzeme,ADET,"0,00","0,00","0,00",LİMON LAMAS,110.0,40,1
ST00231,TÜLBENT BEZ,Sarf Malzeme,METRE,"0,00","0,00","0,00",MIKROFIBER BEZ,26.0,48,1
ST00250,24*24 PEÇETE,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",24*24 PEÇETE,458.0,100,0
ST00251,ÇÖP TORBASI MİNİ,Sarf Malzeme,ADET,"0,00","0,00","0,00",ÇÖP TORBASI JUMBO 80*110 SİYAH,617.0,81,1
ST00367,ÇEKSİL SAPLI,Sarf Malzeme,ADET,"0,00","0,00","0,00",BİBER TATLI,160.0,43,1
ST00368,CAMÇEK,Sarf Malzeme,ADET,"0,00","0,00","0,00",AYSBERK,90.0,46,1
st0000471,ÇAY BARDAĞI,Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ BARDAK,0.55,54,1
st0000472,ÇAY TABAĞI,Sarf Malzeme,ADET,"0,00","0,00","0,00",TRAKYAĞ A.YAĞI 18LT,1630.0,48,1
st0000465,TERMAL POS RULOSU,Sarf Malzeme,ADET,"0,00","0,00","0,00",ARSLANOĞLU PEYNIR TATLISI,575.0,42,1
st0000466,TERMAL RULOSU,Sarf Malzeme,ADET,"0,00","0,00","0,00",KALIN BULGUR,29.8,48,1
ST00201,PİZZA KUTUSU,Sarf Malzeme,ADET,"0,00","0,00","0,00",SIVI SABUN 5 LT,189.8,37,1
ST00210,ÇAKMAK GAZI,Sarf Malzeme,ADET,"0,00","0,00","0,00",LİMON LAMAS,110.0,45,1
ST00214,YAĞLI KAĞIT 25*25,Sarf Malzeme,ADET,"0,00","0,00","0,00",PIŞIRME KAĞIDI--YAĞLI KAĞIT,198.0,78,1
ST00215,YAĞLI KAĞIT 25*35,Sarf Malzeme,ADET,"0,00","0,00","0,00",PIŞIRME KAĞIDI--YAĞLI KAĞIT,198.0,78,1
ST00219,12 KG GAZ,Sarf Malzeme,ADET,"0,00","0,00","0,00",OVA UN 25 KG.,719.0,42,1
ST00220,45 KG GAZ PROPAN,Sarf Malzeme,ADET,"0,00","0,00","0,00",OVA UN 25 KG.,719.0,42,1
ST00223,SELPAK PROFESSİONEL DİSPENSER PEÇETE,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",24*24 PEÇETE,458.0,66,1
st0000266,BULAŞIK TOP TEL,Sarf Malzeme,ADET,"0,00","0,00","0,00",BSZ TOP. FINDIKLI  24X35,9.5,48,1
st0000444,HANTAL BOY ÇÖP TORBASI,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",ÇÖP TORBASI JUMBO 80*110 SİYAH,617.0,66,1
st0000250,MUAYENE ELDİVEN NİTRİL MAVİ/M-L,Sarf Malzeme,ADET,"0,00","0,00","0,00",SİYAH HASPET MUAYENE ELDİVENİ 100 LÜ*20 PK. MİDYUM,146.0,55,1
st0000291,PET KAPSÜL 50*39 50 ADET,Sarf Malzeme,ADET,"0,00","0,00","0,00","SF PATATES KLASİK (9x9) 2,5 KG X 5",95.3,44,1
st0000292,PET KAPSÜL 44*35 50 ADET,Sarf Malzeme,ADET,"0,00","0,00","0,00",BSZ TOP. FINDIKLI  24X35,9.5,47,1
st0000293,PET KAPSÜL 38*30 50 ADET,Sarf Malzeme,ADET,"0,00","0,00","0,00",FT KARPUZ KUTU 330ML REMIX DYS,321.82,48,1
st0000294,MUFFIN PİŞİRME KABI 24LÜ 50X43CM,Sarf Malzeme,ADET,"0,00","0,00","0,00",PIŞIRME KAĞIDI--YAĞLI KAĞIT,198.0,48,1
st0000295,METALİK PET KAPSÜL 50*39 CM 25Lİ,Sarf Malzeme,ADET,"0,00","0,00","0,00","SF PATATES KLASİK (9x9) 2,5 KG X 5",95.3,33,1
st0000296,BENS GOLD KAPSÜL 50X39 25Lİ,Sarf Malzeme,ADET,"0,00","0,00","0,00",SIZDIRMAZ KAP 250 GR,119.0,27,1
st0000297,AMERİKAN 50*35 KAPSÜL 24 ADET,Sarf Malzeme,ADET,"0,00","0,00","0,00",NAR TEKLI SARMA ŞEKER 4 KG,259.0,43,1
st0000298,PET KAPSÜL 62*40 50 ADET,Sarf Malzeme,ADET,"0,00","0,00","0,00",30CM 4 LÜ Sefer Tası PASL.,2600.0,44,1
st0000243,33*33 1/8 KATLAMA BEYAZ PEÇETE,Sarf Malzeme,ADET,"0,00","0,00","0,00",24*24 PEÇETE,458.0,66,1
st0000244,ENDÜSTRİYEL SÜNGER,Sarf Malzeme,ADET,"0,00","0,00","0,00",4'LÜ ENDÜSTRİYEL SÜNGER,39.0,100,0
st0000241,İÇTEN ÇEKMELİ HAVLU 6'LI,Sarf Malzeme,ADET,"0,00","0,00","0,00",SANDVİÇ EKMEĞİ Büfe Tip 6*65 GR,54.46,35,1
st0000247,ÇÖP TORBASI JUMBO DÖKME SİYAH 80*110,Sarf Malzeme,KİLOGRAM,"0,00","0,00","0,00",ÇÖP TORBASI JUMBO 80*110 SİYAH,617.0,100,0
st0000253,TUVALET KAĞIDI 72'Lİ BELLEZA,Sarf Malzeme,ADET,"0,00","0,00","0,00",TUVALET KAĞIDI 72 Lİ,524.0,100,0
st0000237,MİCROFİBER BEZ,Sarf Malzeme,ADET,"0,00","0,00","0,00",MİCROFİBER BEZ,38.4,100,0
st0000209,KAĞITLI PİPET,Sarf Malzeme,ADET,"0,00","0,00","0,00",TUVALET KAĞIDI 72 Lİ,524.0,54,1
st0000233,JAPON KÜRDAN,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,43,1
st0000228,L MUAYENE ELDİVENİ BEYAZ,Sarf Malzeme,ADET,"0,00","0,00","0,00",SİYAH HASPET MUAYENE ELDİVENİ 100 LÜ*20 PK. MİDYUM,146.0,80,1
st0000229,FROZEN 95/300 BARDAK,Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ BARDAK,0.55,70,1
st0000230,FROZEN ÇAP 99 DELİKLİ KAPAK,Sarf Malzeme,ADET,"0,00","0,00","0,00",FILIZ FIYONK 5 KG MAKARNA,48.0,46,1
st0000211,SIZDIRMAZ KAP 1500 GR,Sarf Malzeme,ADET,"0,00","0,00","0,00",SIZDIRMAZ KAP 250 GR,119.0,77,1
st0000193,PLASTİK ÇATAL 100 LÜ,Sarf Malzeme,PAKET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,60,1
st0000031,KARIŞTIRICI,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARIŞTIRICI,56.0,100,0
st0000032,SİYAH HASPET MUAYENE ELDİVENİ 100'LÜ,Sarf Malzeme,PKT.,"0,00","0,00","0,00",SİYAH HASPET MUAYENE ELDİVENİ 100 LÜ*20 PK. MİDYUM,146.0,95,0
st0000033,STREÇ FİLM,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARIŞTIRICI,56.0,47,1
st0000034,IKRAM SETİ 5*1 ADET,Sarf Malzeme,PAKET,"0,00","0,00","0,00",PUDRA ŞEKERİ DÖKME 5 KG,63.0,57,1
st0000035,4 OZ BARDAK,Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ BARDAK,0.55,90,0
st0000036,"KARTON BARDAK 6,5 OZ KOLİ 3000 ADET",Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ BARDAK,0.55,90,0
st0000037,PASTA KUTUSU,Sarf Malzeme,ADET,"0,00","0,00","0,00",PATATES,35.0,42,1
st0000038,KARTON KÜLAH,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,66,1
st0000039,SANDIVIÇ KAĞIT HAMUR,Sarf Malzeme,KİLOGRAM,"0,00","0,00","0,00",SIVI SABUN APARATI,139.0,57,1
st0000040,ÇÖP ŞİŞ KÜRDAN 20 CM,Sarf Malzeme,ADET,"0,00","0,00","0,00",NEMLİ MOP 60 CM,148.0,57,1
st0000041,ISLAK KOLONYALI MENDİL KOLİ 1000 ADET,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",BERRAK KÖZLENMİŞ PATLICAN  3 KG,309.0,44,1
